,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,is_outside
750,/html/body/document/type/sequence/filename/description/text/p[311]/u[1],“Sanctioned Person,750,,,,,,,,,,,,1
751,/html/body/document/type/sequence/filename/description/text/p[311],"” means any Person that is the target of Sanctions or restrictions under Trade Control Laws including: (i) any Person listed on any Sanctions or export-related list, including the U.S. Department of the Treasury Office of Foreign Assets Control’s (“",751,,,,,,,,,,,,1
752,/html/body/document/type/sequence/filename/description/text/p[311]/u[2],OFAC,752,,,,,,,,,,,,1
753,/html/body/document/type/sequence/filename/description/text/p[311],"”) List of Specially Designated Nationals and Blocked Persons, or any other OFAC, U.S. Department of Commerce Bureau of Industry and Security or U.S. Department of State Sanctions or export-related list; (ii) any Person that is, in the aggregate, 50 percent or greater owned, directly or indirectly, or otherwise controlled by a Person or Persons described in clause (i); or (iii) any Person organized or resident in a Sanctioned Country.",753,,,,,,,,,,,,1
754,/html/body/document/type/sequence/filename/description/text/p[313]/u,“Sanctions,754,,,,,,,,,,,,1
755,/html/body/document/type/sequence/filename/description/text/p[313],"” means all U.S. and applicable non-U.S. Laws relating to economic or trade sanctions, including the Laws administered or enforced by the United States (including by OFAC or the U.S. Department of State), the European Union or any European Union member state, the United Nations, or the United Kingdom.",755,,,,,,,,,,,,1
756,/html/body/document/type/sequence/filename/description/text/p[315]/u,“Sarbanes-Oxley Act,756,,,,,,,,,,,,1
757,/html/body/document/type/sequence/filename/description/text/p[315],” means the Sarbanes-Oxley Act of 2002 and the rules and regulations promulgated thereunder.,757,,,,,,,,,,,,1
758,/html/body/document/type/sequence/filename/description/text/p[317]/u,“SEC,758,,,,,,,,,,,,1
759,/html/body/document/type/sequence/filename/description/text/p[317],” means the Securities and Exchange Commission.,759,,,,,,,,,,,,1
760,/html/body/document/type/sequence/filename/description/text/p[319]/u,“Securities Act,760,,,,,,,,,,,,1
761,/html/body/document/type/sequence/filename/description/text/p[319],"” means the Securities Act of 1933, 15 U.S.C. § 77a et seq., and the rules and regulations promulgated thereunder.",761,,,,,,,,,,,,1
762,/html/body/document/type/sequence/filename/description/text/p[321]/u[1],“Schedule 13E-3,762,,,,,,,,,,,,1
763,/html/body/document/type/sequence/filename/description/text/p[321],” has the meaning set forth in,763,,,,,,,,,,,,1
764,/html/body/document/type/sequence/filename/description/text/p[321]/u[2],Section 4.5(b),764,,,,,,,,,,,,1
765,/html/body/document/type/sequence/filename/description/text/p[321],.,765,,,,,,,,,,,,1
766,/html/body/document/type/sequence/filename/description/text/p[323]/u,“Solvent,766,,,,,,,,,,,,1
767,/html/body/document/type/sequence/filename/description/text/p[323],"” means, with respect to a Person, that such Person (a) has property with fair value greater than the total amount of its debts and liabilities, contingent, subordinated or otherwise (it being understood that the amount of contingent liabilities at any time shall be computed as the amount that, in light of all the facts and circumstances existing at such time, can reasonably be expected to become an actual or matured liability), (b) has assets with present fair salable value not less than the amount that will be required to pay its liability on its debts as they become absolute and matured, (c) will be able to pay its debts and liabilities, subordinated, contingent or otherwise, as they become absolute and matured and they become due in the usual course of its affairs and (d) is not engaged in business or a transaction, and is not about to engage in business or a transaction, for which it has unreasonably small capital.",767,,,,,,,,,,,,1
768,/html/body/document/type/sequence/filename/description/text/p[325]/u,“Subsidiary,768,,,,,,,,,,,,1
769,/html/body/document/type/sequence/filename/description/text/p[325],"” means, with respect to a Person, any Person, whether incorporated or unincorporated, of which (a) at least 50% of the securities or ownership interests having by their terms ordinary voting power to elect a majority of the board of directors or other Persons performing similar functions or (b) a general partner interest, is directly or indirectly owned or controlled by such Person or by one or more of its respective Subsidiaries.",769,,,,,,,,,,,,1
770,/html/body/document/type/sequence/filename/description/text/p[327]/u,“Support Agreement,770,,,,,,,,,,,,1
771,/html/body/document/type/sequence/filename/description/text/p[327],” has the meaning set forth in the Recitals.,771,,,,,,,,,,,,1
772,/html/body/document/type/sequence/filename/description/text/p[329]/u[1],“Surviving Corporation,772,,,,,,,,,,,,1
773,/html/body/document/type/sequence/filename/description/text/p[329],” has the meaning set forth in,773,,,,,,,,,,,,1
774,/html/body/document/type/sequence/filename/description/text/p[329]/u[2],Section 2.1(c),774,,,,,,,,,,,,1
775,/html/body/document/type/sequence/filename/description/text/p[329],.,775,,,,,,,,,,,,1
776,/html/body/document/type/sequence/filename/description/text/p[331]/u[1],“Surviving Corporation Common Stock,776,,,,,,,,,,,,1
777,/html/body/document/type/sequence/filename/description/text/p[331],” has the meaning set forth in,777,,,,,,,,,,,,1
778,/html/body/document/type/sequence/filename/description/text/p[331]/u[2],Section 3.1(a)(i),778,,,,,,,,,,,,1
779,/html/body/document/type/sequence/filename/description/text/p[331],.,779,,,,,,,,,,,,1
Unnamed 27,/html/body/document/type/sequence/filename/description/text/div[17]/div[1]/div/div,12,780,/html/body/document/type/sequence/filename/description/text/div[17]/div[1]/div/div,12,n,28.0,"[0.2336416169992226, 0.4953666666666666, 0.009261041666666667, 0.00038870173620108835]",1.0,28.0,0.2336416169992226,0.4953666666666666,0.009261041666666667,0.00038870173620108835,0
781,/html/body/document/type/sequence/filename/description/text/p[334]/u,“Takeover Law,781,,,,,,,,,,,,1
782,/html/body/document/type/sequence/filename/description/text/p[334],"” means any “interested stockholder,” “fair price,” “moratorium,” “control share",782,,,,,,,,,,,,1
783,/html/body/document/type/sequence/filename/description/text/p[334],"acquisition,” “business combination” or any other anti-takeover Law or similar Law enacted under state or federal Law.",783,,,,,,,,,,,,1
784,/html/body/document/type/sequence/filename/description/text/p[336]/u,“Tax Return,784,,,,,,,,,,,,1
785,/html/body/document/type/sequence/filename/description/text/p[336],"” means any return, report, declaration, form, election, statement, or any other document (including any attached schedules, supplements and additional or supporting material) filed or required to be filed with any Governmental Entity with respect to Taxes, including any information return, claim for refund, amended return or declaration of estimated Taxes (and including any amendments with respect thereto).",785,,,,,,,,,,,,1
786,/html/body/document/type/sequence/filename/description/text/p[338]/u,“Taxing Authority,786,,,,,,,,,,,,1
787,/html/body/document/type/sequence/filename/description/text/p[338],”,787,,,,,,,,,,,,1
788,/html/body/document/type/sequence/filename/description/text/p[338],"means any Governmental Entity responsible for or otherwise having jurisdiction with respect to the imposition, collection, assessment, or regulation of any Tax or Tax Return.",788,,,,,,,,,,,,1
789,/html/body/document/type/sequence/filename/description/text/p[340]/u,“Taxes,789,,,,,,,,,,,,1
790,/html/body/document/type/sequence/filename/description/text/p[340],"” means all federal, provincial, territorial, state, municipal, ‎local, domestic, foreign, ‎or other taxes, charges, fees, levies, duties, fees, or other assessments, including all net income, gross income, gross receipts, alterative or add-on minimum, sales, use, ad valorem, goods and services, capital, transfer, franchise, margin, earnings, profits, windfall profits, license, withholding, payroll, employment, unemployment, employer health, social security, premium, workers compensation, occupation, excise, estimated, environmental, severance, stamp, occupation, property (real, personal, intangible, unclaimed, or abandoned), escheat, or other taxes, custom duties, or other similar assessments or charges in the nature of a tax, together with any interest and any penalties, additions to tax or additional amounts imposed by any Governmental Entity in connection with any of the foregoing.",790,,,,,,,,,,,,1
791,/html/body/document/type/sequence/filename/description/text/p[342]/u,“Transactions,791,,,,,,,,,,,,1
792,/html/body/document/type/sequence/filename/description/text/p[342],” has the meaning set forth in the Recitals.,792,,,,,,,,,,,,1
793,/html/body/document/type/sequence/filename/description/text/p[344]/u,“Treasury Regulations,793,,,,,,,,,,,,1
794,/html/body/document/type/sequence/filename/description/text/p[344],” means the regulations promulgated under the Code.,794,,,,,,,,,,,,1
795,/html/body/document/type/sequence/filename/description/text/p[346]/u[1],“Uncertificated Shares,795,,,,,,,,,,,,1
796,/html/body/document/type/sequence/filename/description/text/p[346],” has the meaning set forth in,796,,,,,,,,,,,,1
797,/html/body/document/type/sequence/filename/description/text/p[346]/u[2],Section 3.3(b)(i),797,,,,,,,,,,,,1
798,/html/body/document/type/sequence/filename/description/text/p[346],.,798,,,,,,,,,,,,1
799,/html/body/document/type/sequence/filename/description/text/p[348]/u,“Vested Company PSU,799,,,,,,,,,,,,1
800,/html/body/document/type/sequence/filename/description/text/p[348],"” means a Company PSU that is unexpired, unexercised, outstanding, and vested as of immediately prior to the Effective Time or that vests solely as a result of the consummation of the Transactions (and without any additional action by the Company, the Company Board or a committee thereof, including to the extent that any other conditions for vesting have been satisfied on, prior to or in connection with the Effective Time).",800,,,,,,,,,,,,1
801,/html/body/document/type/sequence/filename/description/text/p[350]/u,“Vested Company RSU,801,,,,,,,,,,,,1
802,/html/body/document/type/sequence/filename/description/text/p[350],"” means a Company RSU that is unexpired, unexercised, outstanding, and vested as of immediately prior to the Effective Time or that vests solely as a result of the consummation of the Transactions (and without any additional action by the Company, the Company Board or a committee thereof, including to the extent that any other conditions for vesting have been satisfied on, prior to or in connection with the Effective Time).",802,,,,,,,,,,,,1
803,/html/body/document/type/sequence/filename/description/text/p[352]/u,“Vested Company SAR,803,,,,,,,,,,,,1
804,/html/body/document/type/sequence/filename/description/text/p[352],"” means a Company SAR that is unexpired, unexercised, outstanding, and vested as of immediately prior to the Effective Time or that vests solely as a result of the consummation of the Transactions (and without any additional action by the Company, the Company Board or a committee thereof, including to the extent that any other conditions for vesting have been satisfied on, prior to or in connection with the Effective Time).",804,,,,,,,,,,,,1
805,/html/body/document/type/sequence/filename/description/text/p[354]/u,“Willful Breach,805,,,,,,,,,,,,1
806,/html/body/document/type/sequence/filename/description/text/p[354],"” means a breach or a failure to perform, in each case that is the consequence of a deliberate action or omission (including a failure to cure circumstances) by a Party with the knowledge that the taking of, or failure to take, such act would, or would reasonably be expected to, result in a breach of this Agreement.",806,,,,,,,,,,,,1
Unnamed 28,/html/body/document/type/sequence/filename/description/text/div[18]/div[1]/div/div,13,807,/html/body/document/type/sequence/filename/description/text/div[18]/div[1]/div/div,13,n,29.0,"[0.2472935993780772, 0.4953666666666666, 0.009261041666666667, 0.00038870173620108835]",1.0,29.0,0.2472935993780772,0.4953666666666666,0.009261041666666667,0.00038870173620108835,0
Unnamed 29,/html/body/document/type/sequence/filename/description/text/p[357],Section 1.2,808,/html/body/document/type/sequence/filename/description/text/p[357],Section 1.2,ssn,30.0,"[0.24889582793469808, 0.07888472222222222, 0.041655833333333336, 0.00038870173620108835]",1.0,30.0,0.24889582793469808,0.07888472222222222,0.041655833333333336,0.00038870173620108835,0
Unnamed 30,/html/body/document/type/sequence/filename/description/text/p[357]/u,Interpretation,809,/html/body/document/type/sequence/filename/description/text/p[357]/u,Interpretation,sst,141.0,"[0.24889582793469808, 0.12979583333333333, 0.05269638888888889, 0.00038870173620108835]",1.0,31.0,0.24889582793469808,0.12979583333333333,0.05269638888888889,0.00038870173620108835,0
810,/html/body/document/type/sequence/filename/description/text/p[357],". Unless expressly provided for elsewhere in this Agreement, this Agreement will be interpreted in accordance with the following provisions:",810,,,,,,,,,,,,1
811,/html/body/document/type/sequence/filename/description/text/p[359],"(a)    the words “this Agreement,” “herein,” “hereby,” “hereunder,” “hereof,” and other equivalent words refer to this Agreement as an entirety and not solely to the particular portion, Article, Section, subsection or other subdivision of this Agreement in which any such word is used;",811,,,,,,,,,,,,1
812,/html/body/document/type/sequence/filename/description/text/p[361],"(b)    examples are not to be construed to limit, expressly or by implication, the matter they illustrate;",812,,,,,,,,,,,,1
813,/html/body/document/type/sequence/filename/description/text/p[363],"(c)    the words “made available” (and words of similar import) by the Company with respect to any item or document means that prior to the execution of this Agreement, such information, document or material was (i) publicly available on the SEC’s EDGAR database or (ii) made available for review by Parent or Parent’s Representatives in the “Project Annie” electronic data room maintained by the Company or otherwise provided to Parent or Parent’s Representatives by or on behalf of the Company (including in any “clean room” or on an “outside counsel only” basis), in each case, on or before 11:59 p.m. (Pacific Time) on the Business Day prior to the date of this Agreement.",813,,,,,,,,,,,,1
814,/html/body/document/type/sequence/filename/description/text/p[365],(d)    the word “including” and its derivatives means “including without limitation” and is a term of illustration and not of limitation;,814,,,,,,,,,,,,1
815,/html/body/document/type/sequence/filename/description/text/p[367],(e)    the word “or” shall be disjunctive but not exclusive;,815,,,,,,,,,,,,1
816,/html/body/document/type/sequence/filename/description/text/p[369],(f)    all definitions set forth herein are deemed applicable whether the words defined are used herein in the singular or in the plural and correlative forms of defined terms have corresponding meanings;,816,,,,,,,,,,,,1
817,/html/body/document/type/sequence/filename/description/text/p[371],"(g)    a defined term has its defined meaning throughout this Agreement and each exhibit, schedule, certificate or other document to this Agreement, regardless of whether it appears before or after the place where it is defined;",817,,,,,,,,,,,,1
818,/html/body/document/type/sequence/filename/description/text/p[373],"(h)    all references to prices, values or monetary amounts refer to United States dollars;",818,,,,,,,,,,,,1
819,/html/body/document/type/sequence/filename/description/text/p[375],"(i)    wherever used herein, any pronoun or pronouns will be deemed to include both the singular and plural and to cover all genders;",819,,,,,,,,,,,,1
820,/html/body/document/type/sequence/filename/description/text/p[377],"(j)    this Agreement has been jointly prepared by the Parties, and this Agreement will not be construed against any Person as the principal draftsperson hereof or thereof and no consideration may be given to any fact or presumption that any Party had a greater or lesser hand in drafting this Agreement;",820,,,,,,,,,,,,1
821,/html/body/document/type/sequence/filename/description/text/p[379],"(k)    the captions of the Articles, Sections or subsections appearing in this Agreement are inserted only as a matter of convenience and in no way define, limit, construe or describe the scope or extent of such Section, or in any way affect this Agreement;",821,,,,,,,,,,,,1
Unnamed 31,/html/body/document/type/sequence/filename/description/text/div[19]/div[1]/div/div,14,822,/html/body/document/type/sequence/filename/description/text/div[19]/div[1]/div/div,14,n,32.0,"[0.2605441824306815, 0.4953666666666666, 0.009261041666666667, 0.00038870173620108835]",1.0,32.0,0.2605441824306815,0.4953666666666666,0.009261041666666667,0.00038870173620108835,0
823,/html/body/document/type/sequence/filename/description/text/p[382],"(l)    any references herein to a particular Section, Article, Annex or Schedule means a Section or Article of, or an Annex or Schedule to, this Agreement unless otherwise expressly stated herein;",823,,,,,,,,,,,,1
824,/html/body/document/type/sequence/filename/description/text/p[384],(m)    the Annexes and Schedules attached to this Agreement are incorporated herein by reference and will be considered part of this Agreement;,824,,,,,,,,,,,,1
825,/html/body/document/type/sequence/filename/description/text/p[386],"(n)    unless otherwise specified herein, all accounting terms used herein will be interpreted, and all determinations with respect to accounting matters hereunder will be made, in accordance with GAAP, applied on a consistent basis;",825,,,,,,,,,,,,1
826,/html/body/document/type/sequence/filename/description/text/p[388],"(o)     any references to (i) any Contract (including this Agreement), statute or regulation are to the Contract, statute or regulation as amended, modified, supplemented, restated or replaced from time to time (in the case of Contract, to the extent permitted by the terms thereof and, if applicable, by the terms of this Agreement); (ii) any Governmental Entity include any successor to that Governmental Entity; and (iii) any applicable Law refers to such applicable Law as amended, modified, supplemented or replaced from time to time (and, in the case of statutes, include any rules and regulations promulgated under such statute) and references to any Section of any applicable Law or other law include any successor to such Section;",826,,,,,,,,,,,,1
827,/html/body/document/type/sequence/filename/description/text/p[390],(p)    all references to days mean calendar days unless otherwise provided; and,827,,,,,,,,,,,,1
828,/html/body/document/type/sequence/filename/description/text/p[392],(q)    all references to time mean New York City time.,828,,,,,,,,,,,,1
Unnamed 32,/html/body/document/type/sequence/filename/description/text/p[394]/b,ARTICLE II,829,/html/body/document/type/sequence/filename/description/text/p[394]/b,ARTICLE II,sn,33.0,"[0.26776885203420575, 0.47431111111111113, 0.05137805555555555, 0.00038870173620108835]",1.0,33.0,0.26776885203420575,0.47431111111111113,0.05137805555555555,0.00038870173620108835,0
Unnamed 33,/html/body/document/type/sequence/filename/description/text/p[395]/b,THE MERGER; EFFECTS OF THE MERGER,830,/html/body/document/type/sequence/filename/description/text/p[395]/b,THE MERGER; EFFECTS OF THE MERGER,st,34.0,"[0.2681705104949469, 0.40445972222222226, 0.19107500000000002, 0.00038870173620108835]",1.0,34.0,0.2681705104949469,0.40445972222222226,0.19107500000000002,0.00038870173620108835,0
Unnamed 34,/html/body/document/type/sequence/filename/description/text/p[397],Section 2.1,831,/html/body/document/type/sequence/filename/description/text/p[397],Section 2.1,ssn,35.0,"[0.26897382741642917, 0.07888472222222222, 0.041655833333333336, 0.00038870173620108835]",1.0,35.0,0.26897382741642917,0.07888472222222222,0.041655833333333336,0.00038870173620108835,0
Unnamed 35,/html/body/document/type/sequence/filename/description/text/p[397]/u,The Merger,832,/html/body/document/type/sequence/filename/description/text/p[397]/u,The Merger,sst,142.0,"[0.26897382741642917, 0.12962777777777776, 0.04558916666666667, 0.00038870173620108835]",1.0,36.0,0.26897382741642917,0.12962777777777776,0.04558916666666667,0.00038870173620108835,0
833,/html/body/document/type/sequence/filename/description/text/p[397],.,833,,,,,,,,,,,,1
Unnamed 36,/html/body/document/type/sequence/filename/description/text/p[399],(a),834,/html/body/document/type/sequence/filename/description/text/p[399],(a),sssn,196.0,"[0.2697771443379114, 0.11221805555555556, 0.010275625, 0.00038870173620108835]",1.0,37.0,0.2697771443379114,0.11221805555555556,0.010275625,0.00038870173620108835,0
Unnamed 37,/html/body/document/type/sequence/filename/description/text/p[399]/u[1],Effecting the Merger,835,/html/body/document/type/sequence/filename/description/text/p[399]/u[1],Effecting the Merger,ssst,197.0,"[0.2697771443379114, 0.1318138888888889, 0.07912361111111112, 0.00038870173620108835]",1.0,38.0,0.2697771443379114,0.1318138888888889,0.07912361111111112,0.00038870173620108835,0
836,/html/body/document/type/sequence/filename/description/text/p[399],". Upon the terms and subject to the conditions set forth in this Agreement, and in accordance with the DGCL, at the Closing, Parent, Merger Sub and the Company shall cause a certificate of merger in such form as required by and in accordance with the applicable provisions of the DGCL (the “",836,,,,,,,,,,,,1
837,/html/body/document/type/sequence/filename/description/text/p[399]/u[2],Certificate of Merger,837,,,,,,,,,,,,1
838,/html/body/document/type/sequence/filename/description/text/p[399],"”), to be executed and filed with the Office of the Secretary of State of the State of Delaware (the “",838,,,,,,,,,,,,1
839,/html/body/document/type/sequence/filename/description/text/p[399]/u[3],Delaware Secretary,839,,,,,,,,,,,,1
840,/html/body/document/type/sequence/filename/description/text/p[399],”).,840,,,,,,,,,,,,1
Unnamed 38,/html/body/document/type/sequence/filename/description/text/p[401],(b),841,/html/body/document/type/sequence/filename/description/text/p[401],(b),sssn,198.0,"[0.27098211972013475, 0.11221805555555556, 0.010796458333333333, 0.00038870173620108835]",1.0,39.0,0.27098211972013475,0.11221805555555556,0.010796458333333333,0.00038870173620108835,0
Unnamed 39,/html/body/document/type/sequence/filename/description/text/p[401]/u[1],Effective Time,842,/html/body/document/type/sequence/filename/description/text/p[401]/u[1],Effective Time,ssst,199.0,"[0.27098211972013475, 0.13340416666666666, 0.057709444444444445, 0.00038870173620108835]",1.0,40.0,0.27098211972013475,0.13340416666666666,0.057709444444444445,0.00038870173620108835,0
843,/html/body/document/type/sequence/filename/description/text/p[401],. The Merger shall become effective on such date and at such time as the Certificate of Merger has been duly filed with the Delaware Secretary or at such later time and date as may be agreed upon by the parties in writing and specified in the Certificate of Merger in accordance with the DGCL (the “,843,,,,,,,,,,,,1
844,/html/body/document/type/sequence/filename/description/text/p[401]/u[2],Effective Time,844,,,,,,,,,,,,1
845,/html/body/document/type/sequence/filename/description/text/p[401],”).,845,,,,,,,,,,,,1
Unnamed 40,/html/body/document/type/sequence/filename/description/text/p[403],(c),846,/html/body/document/type/sequence/filename/description/text/p[403],(c),sssn,200.0,"[0.27218709510235817, 0.11221805555555556, 0.010275625, 0.00038870173620108835]",1.0,41.0,0.27218709510235817,0.11221805555555556,0.010275625,0.00038870173620108835,0
Unnamed 41,/html/body/document/type/sequence/filename/description/text/p[403]/u[1],Surviving Corporation,847,/html/body/document/type/sequence/filename/description/text/p[403]/u[1],Surviving Corporation,ssst,201.0,"[0.27218709510235817, 0.13390277777777776, 0.08642013888888889, 0.00038870173620108835]",1.0,42.0,0.27218709510235817,0.13390277777777776,0.08642013888888889,0.00038870173620108835,0
848,/html/body/document/type/sequence/filename/description/text/p[403],". At the Effective Time, Merger Sub shall be merged with and into the Company in accordance with the DGCL, whereupon the separate existence of Merger Sub shall cease, and the Company shall be the surviving corporation in the Merger (the “",848,,,,,,,,,,,,1
849,/html/body/document/type/sequence/filename/description/text/p[403]/u[2],Surviving Corporation,849,,,,,,,,,,,,1
850,/html/body/document/type/sequence/filename/description/text/p[403],"”) and shall become a wholly owned Subsidiary of Parent, and the separate corporate existence of the Company, with all its rights, privileges, immunities, powers and franchises, shall continue unaffected by the Merger. Without limiting the generality of the foregoing, and subject thereto, at the Effective Time, all of the properties, rights, privileges, immunities, powers and franchises of the Company and Merger Sub shall vest in the Surviving Corporation, and all debts, liabilities and duties of the Company and Merger Sub shall become the debts, liabilities and duties of the Surviving Corporation.",850,,,,,,,,,,,,1
Unnamed 42,/html/body/document/type/sequence/filename/description/text/div[20]/div[1]/div/div,15,851,/html/body/document/type/sequence/filename/description/text/div[20]/div[1]/div/div,15,n,37.0,"[0.27419538740606375, 0.4953666666666666, 0.009261041666666667, 0.00038870173620108835]",1.0,43.0,0.27419538740606375,0.4953666666666666,0.009261041666666667,0.00038870173620108835,0
Unnamed 43,/html/body/document/type/sequence/filename/description/text/p[406],(d),852,/html/body/document/type/sequence/filename/description/text/p[406],(d),sssn,202.0,"[0.2757968385592122, 0.11221805555555556, 0.010796458333333333, 0.00038870173620108835]",1.0,44.0,0.2757968385592122,0.11221805555555556,0.010796458333333333,0.00038870173620108835,0
Unnamed 44,/html/body/document/type/sequence/filename/description/text/p[406]/u,Effects of the Merger,853,/html/body/document/type/sequence/filename/description/text/p[406]/u,Effects of the Merger,ssst,203.0,"[0.2757968385592122, 0.1322701388888889, 0.08089166666666667, 0.00038870173620108835]",1.0,45.0,0.2757968385592122,0.1322701388888889,0.08089166666666667,0.00038870173620108835,0
854,/html/body/document/type/sequence/filename/description/text/p[406],". The Merger shall have the effects set forth in the applicable provisions of the DGCL, this Agreement and the Certificate of Merger.",854,,,,,,,,,,,,1
Unnamed 45,/html/body/document/type/sequence/filename/description/text/p[408],Section 2.2,855,/html/body/document/type/sequence/filename/description/text/p[408],Section 2.2,ssn,38.0,"[0.2766001554806945, 0.07888472222222222, 0.04177513888888889, 0.00038870173620108835]",1.0,46.0,0.2766001554806945,0.07888472222222222,0.04177513888888889,0.00038870173620108835,0
Unnamed 46,/html/body/document/type/sequence/filename/description/text/p[408]/u[1],Closing,856,/html/body/document/type/sequence/filename/description/text/p[408]/u[1],Closing,sst,143.0,"[0.2766001554806945, 0.13039791666666667, 0.031125208333333335, 0.00038870173620108835]",1.0,47.0,0.2766001554806945,0.13039791666666667,0.031125208333333335,0.00038870173620108835,0
857,/html/body/document/type/sequence/filename/description/text/p[408],". Upon the terms and subject to the conditions set forth in this Agreement, the closing of the Merger (the “",857,,,,,,,,,,,,1
858,/html/body/document/type/sequence/filename/description/text/p[408]/u[2],Closing,858,,,,,,,,,,,,1
859,/html/body/document/type/sequence/filename/description/text/p[408],"”), shall take place as soon as practicable (but in any event no later than the second (2",859,,,,,,,,,,,,1
860,/html/body/document/type/sequence/filename/description/text/p[408]/sup,nd,860,,,,,,,,,,,,1
861,/html/body/document/type/sequence/filename/description/text/p[408],) Business Day) after the satisfaction or (to the extent permitted by applicable Law) waiver in accordance with this Agreement of all of the conditions set forth in,861,,,,,,,,,,,,1
862,/html/body/document/type/sequence/filename/description/text/p[408]/u[3],Article VII,862,,,,,,,,,,,,1
863,/html/body/document/type/sequence/filename/description/text/p[408],(the “,863,,,,,,,,,,,,1
864,/html/body/document/type/sequence/filename/description/text/p[408]/u[4],Closing Date,864,,,,,,,,,,,,1
865,/html/body/document/type/sequence/filename/description/text/p[408],"”) (other than any such conditions which by their nature cannot be satisfied until the Closing Date, which shall be required to be so satisfied or (to the extent permitted by applicable Law) waived in accordance with this Agreement on the Closing Date) via electronic exchange of documents and signature pages, or such other time, date or place as Parent and the Company may agree in writing.",865,,,,,,,,,,,,1
Unnamed 47,/html/body/document/type/sequence/filename/description/text/p[410],Section 2.3,866,/html/body/document/type/sequence/filename/description/text/p[410],Section 2.3,ssn,40.0,"[0.2786084477844001, 0.07888472222222222, 0.041655833333333336, 0.00038870173620108835]",1.0,48.0,0.2786084477844001,0.07888472222222222,0.041655833333333336,0.00038870173620108835,0
Unnamed 48,/html/body/document/type/sequence/filename/description/text/p[410]/u,Organizational Documents,867,/html/body/document/type/sequence/filename/description/text/p[410]/u,Organizational Documents,sst,144.0,"[0.2786084477844001, 0.12979583333333333, 0.10163333333333334, 0.00038870173620108835]",1.0,49.0,0.2786084477844001,0.12979583333333333,0.10163333333333334,0.00038870173620108835,0
868,/html/body/document/type/sequence/filename/description/text/p[410],.,868,,,,,,,,,,,,1
869,/html/body/document/type/sequence/filename/description/text/p[412],"(a)    At the Effective Time, the certificate of incorporation of the Company as in effect immediately prior to the Effective Time shall be amended and restated to read in its entirety as set forth on",869,,,,,,,,,,,,1
870,/html/body/document/type/sequence/filename/description/text/p[412]/u[1],Exhibit A,870,,,,,,,,,,,,1
871,/html/body/document/type/sequence/filename/description/text/p[412],"hereto and, as so amended and restated, shall be the certificate of incorporation of the Surviving Corporation, until, subject to",871,,,,,,,,,,,,1
872,/html/body/document/type/sequence/filename/description/text/p[412]/u[2],Section 6.11,872,,,,,,,,,,,,1
873,/html/body/document/type/sequence/filename/description/text/p[412],", thereafter amended in accordance with its terms and the DGCL.",873,,,,,,,,,,,,1
874,/html/body/document/type/sequence/filename/description/text/p[414],"(b)    The parties shall take all necessary actions so that at the Effective Time, the bylaws of the Company as in effect immediately prior to the Effective Time shall be amended and restated to be in the form of the bylaws of Merger Sub as in effect immediately prior to the Effective Time (except (i) that all references therein to Merger Sub shall be amended to become references to the Surviving Corporation and (ii) for any changes as shall be necessary to comply with",874,,,,,,,,,,,,1
875,/html/body/document/type/sequence/filename/description/text/p[414]/u[1],Section 6.11,875,,,,,,,,,,,,1
876,/html/body/document/type/sequence/filename/description/text/p[414],") and, as so amended and restated, will be the bylaws of the Surviving Corporation until, subject to",876,,,,,,,,,,,,1
877,/html/body/document/type/sequence/filename/description/text/p[414]/u[2],Section 6.11,877,,,,,,,,,,,,1
878,/html/body/document/type/sequence/filename/description/text/p[414],", thereafter amended in accordance with its terms, the certificate of incorporation of the Surviving Corporation and the DGCL.",878,,,,,,,,,,,,1
Unnamed 49,/html/body/document/type/sequence/filename/description/text/p[416],Section 2.4,879,/html/body/document/type/sequence/filename/description/text/p[416],Section 2.4,ssn,42.0,"[0.2822233739310702, 0.07888472222222222, 0.04190541666666667, 0.00038870173620108835]",1.0,50.0,0.2822233739310702,0.07888472222222222,0.04190541666666667,0.00038870173620108835,0
Unnamed 50,/html/body/document/type/sequence/filename/description/text/p[416]/u,Directors and Officers of the Surviving Corporation,880,/html/body/document/type/sequence/filename/description/text/p[416]/u,Directors and Officers of the Surviving Corporation,sst,145.0,"[0.2822233739310702, 0.13104375000000001, 0.19593611111111112, 0.00038870173620108835]",1.0,51.0,0.2822233739310702,0.13104375000000001,0.19593611111111112,0.00038870173620108835,0
881,/html/body/document/type/sequence/filename/description/text/p[416],". The parties shall take all necessary actions so that at the Effective Time, (i) the officers of the Company shall constitute the only officers of the Surviving Corporation, and such officers shall serve until their successors have been duly elected or appointed and qualified or until their death, resignation or removal in accordance with the Organizational Documents of the Surviving Corporation and (ii) the directors of Merger Sub shall become and constitute the only directors of the Surviving Corporation, and such directors shall serve until their successors have been duly elected or appointed and qualified or until their death, resignation or removal in accordance with the Organizational Documents of the Surviving Corporation.",881,,,,,,,,,,,,1
