,xpaths,text,all_nodes_ordering,highlighted_xpaths,highlighted_segmented_text,highlighted_labels,segment_number_from_idx,highlighted_coordinates,num_entries_1,exploded_highlight_node_order,top,left,width,height,top_via_line_group,size
455,/html/body/document/type/sequence/filename/description/text/p[128]/u[6],provided,455,,,,,,,,,,,,,
456,/html/body/document/type/sequence/filename/description/text/p[128],",",456,,,,,,,,,,,,,
457,/html/body/document/type/sequence/filename/description/text/p[128]/u[7],further,457,,,,,,,,,,,,,
458,/html/body/document/type/sequence/filename/description/text/p[128],", that any Effect arising out of or resulting from any change or event referred to in clause (A), (B), (C), (D), (E), (H) or (I) above may constitute, and be taken into account in determining the occurrence of, a Company Material Adverse Effect if and only to the extent that such change or event has a materially disproportionate adverse impact on the Company and the Company Subsidiaries, taken as a whole, as compared to any other participants that operate in the industries in which the Company and the Company Subsidiaries operate.",458,,,,,,,,,,,,,
459,/html/body/document/type/sequence/filename/description/text/p[130]/u[1],“Company Permits,459,,,,,,,,,,,,,
460,/html/body/document/type/sequence/filename/description/text/p[130],” has the meaning set forth in,460,,,,,,,,,,,,,
461,/html/body/document/type/sequence/filename/description/text/p[130]/u[2],Section,461,,,,,,,,,,,,,
462,/html/body/document/type/sequence/filename/description/text/p[130]/u[3],4.15(b),462,,,,,,,,,,,,,
463,/html/body/document/type/sequence/filename/description/text/p[130],.,463,,,,,,,,,,,,,
464,/html/body/document/type/sequence/filename/description/text/p[132]/u[1],“Company Preferred Stock,464,,,,,,,,,,,,,
465,/html/body/document/type/sequence/filename/description/text/p[132],” has the meaning set forth in,465,,,,,,,,,,,,,
466,/html/body/document/type/sequence/filename/description/text/p[132]/u[2],Section,466,,,,,,,,,,,,,
467,/html/body/document/type/sequence/filename/description/text/p[132]/u[3],4.2(a),467,,,,,,,,,,,,,
468,/html/body/document/type/sequence/filename/description/text/p[132],.,468,,,,,,,,,,,,,
469,/html/body/document/type/sequence/filename/description/text/p[134]/u,“Company PSU,469,,,,,,,,,,,,,
470,/html/body/document/type/sequence/filename/description/text/p[134],"” means all restricted share units payable in shares of Company Common Stock or whose value is determined with reference to the value of shares of Company Common Stock, granted pursuant to the Company Stock Plans, whose vesting is conditioned in full or in part based on achievement of performance goals or metrics.",470,,,,,,,,,,,,,
471,/html/body/document/type/sequence/filename/description/text/p[136]/u[1],“Company Related Parties,471,,,,,,,,,,,,,
472,/html/body/document/type/sequence/filename/description/text/p[136],” has the meaning set forth in,472,,,,,,,,,,,,,
473,/html/body/document/type/sequence/filename/description/text/p[136]/u[2],Section 8.4(g),473,,,,,,,,,,,,,
474,/html/body/document/type/sequence/filename/description/text/p[136],.,474,,,,,,,,,,,,,
475,/html/body/document/type/sequence/filename/description/text/div[10]/div[1]/div/div,5,475,/html/body/document/type/sequence/filename/description/text/div[10]/div[1]/div/div,5,n,21,"[0.1264301632547292, 0.4976833333333333, 0.00463325, 0.00038870173620108835]",1.0,20.0,0.1264301632547292,0.4976833333333333,0.00463325,0.00038870173620108835,0.1264301632547292,1.0
476,/html/body/document/type/sequence/filename/description/text/p[139]/u,“Company RSU,476,,,,,,,,,,,,,
477,/html/body/document/type/sequence/filename/description/text/p[139],"” means all restricted share units payable in shares of Company Common Stock or whose value is determined with reference to the value of shares of Company Common Stock, granted pursuant to the Company Stock Plans, other than Company PSUs.",477,,,,,,,,,,,,,
478,/html/body/document/type/sequence/filename/description/text/p[141]/u,“Company SAR,478,,,,,,,,,,,,,
479,/html/body/document/type/sequence/filename/description/text/p[141],” means all stock appreciation rights to acquire shares of Company Common Stock from the Company granted pursuant to the Company Stock Plans.,479,,,,,,,,,,,,,
480,/html/body/document/type/sequence/filename/description/text/p[143]/u[1],“Company Specified Contract,480,,,,,,,,,,,,,
481,/html/body/document/type/sequence/filename/description/text/p[143],” has the meaning set forth in,481,,,,,,,,,,,,,
482,/html/body/document/type/sequence/filename/description/text/p[143]/u[2],Section 4.13(a),482,,,,,,,,,,,,,
483,/html/body/document/type/sequence/filename/description/text/p[143],.,483,,,,,,,,,,,,,
484,/html/body/document/type/sequence/filename/description/text/p[145]/u,“Company Stock Plans,484,,,,,,,,,,,,,
485,/html/body/document/type/sequence/filename/description/text/p[145],"” means (i) the QAD Inc. 2016 Stock Incentive Program, which includes the Incentive Stock Option Plan, the Nonqualified Stock Option Plan, the Restricted Share Plan, the Stock Appreciation Rights Plan and the Other Stock Rights Plan and (ii) the QAD Inc. 2006 Stock Incentive Program, which includes the incentive Stock Option Plan, the Nonqualified Stock Option Plan, the Restricted Share Plan, the Stock Appreciation Rights Plan and the Other Stock Rights Plan.",485,,,,,,,,,,,,,
486,/html/body/document/type/sequence/filename/description/text/p[147]/u,“Company Stockholder,486,,,,,,,,,,,,,
487,/html/body/document/type/sequence/filename/description/text/p[147],” has the meaning set forth in the Recitals.,487,,,,,,,,,,,,,
488,/html/body/document/type/sequence/filename/description/text/p[149]/u[1],“Company Stockholder Approval,488,,,,,,,,,,,,,
489,/html/body/document/type/sequence/filename/description/text/p[149],” has the meaning set forth in,489,,,,,,,,,,,,,
490,/html/body/document/type/sequence/filename/description/text/p[149]/u[2],Section,490,,,,,,,,,,,,,
491,/html/body/document/type/sequence/filename/description/text/p[149]/u[3],4.4(d),491,,,,,,,,,,,,,
492,/html/body/document/type/sequence/filename/description/text/p[149],.,492,,,,,,,,,,,,,
493,/html/body/document/type/sequence/filename/description/text/p[151]/u,“Company Stockholders Meeting,493,,,,,,,,,,,,,
494,/html/body/document/type/sequence/filename/description/text/p[151],"” means the meeting of the stockholders of the Company to consider the adoption of this Agreement (including any postponement, adjournment or recess thereof).",494,,,,,,,,,,,,,
495,/html/body/document/type/sequence/filename/description/text/p[153]/u,“Company Subsidiary,495,,,,,,,,,,,,,
496,/html/body/document/type/sequence/filename/description/text/p[153],” means each Subsidiary of the Company.,496,,,,,,,,,,,,,
497,/html/body/document/type/sequence/filename/description/text/p[155]/u[1],“Company Superior Proposal,497,,,,,,,,,,,,,
498,/html/body/document/type/sequence/filename/description/text/p[155],"” means a bona fide written Company Acquisition Proposal (provided, that for this purpose the references to “twenty percent (20%)” in the definition of Company Acquisition Transaction shall be deemed to be references to “seventy-five percent (75%)”) made by a third party, that did not result from a material breach of",498,,,,,,,,,,,,,
499,/html/body/document/type/sequence/filename/description/text/p[155]/u[2],Section,499,,,,,,,,,,,,,
500,/html/body/document/type/sequence/filename/description/text/p[155]/u[3],6.4,500,,,,,,,,,,,,,
501,/html/body/document/type/sequence/filename/description/text/p[155],", that the Special Committee determines in its good faith judgment (after consultation with its financial advisors and outside counsel), taking into account all of the terms and conditions of such Company Acquisition Proposal and this Agreement (including any offer by Parent to amend the terms of this Agreement and taking into account all financial, legal, regulatory and other aspects of such Company Acquisition Proposal that the Special Committee considers in good faith to be appropriate (including the conditionality and the timing and likelihood of consummation of such proposal) is reasonably likely to be consummated in accordance with its terms and would, if consummated, result in a transaction that is more favorable to the Company’s stockholders (solely in their capacity as such, and other than the Company Stockholder in connection with the Rollover) from a financial point of view than the Transactions.",501,,,,,,,,,,,,,
502,/html/body/document/type/sequence/filename/description/text/p[157]/u[1],“Company Superior Proposal Notice,502,,,,,,,,,,,,,
503,/html/body/document/type/sequence/filename/description/text/p[157],” has the meaning set forth in,503,,,,,,,,,,,,,
504,/html/body/document/type/sequence/filename/description/text/p[157]/u[2],Section,504,,,,,,,,,,,,,
505,/html/body/document/type/sequence/filename/description/text/p[157]/u[3],6.4(f),505,,,,,,,,,,,,,
506,/html/body/document/type/sequence/filename/description/text/p[157],.,506,,,,,,,,,,,,,
507,/html/body/document/type/sequence/filename/description/text/p[159]/u[1],“Company Termination Fee,507,,,,,,,,,,,,,
508,/html/body/document/type/sequence/filename/description/text/p[159],” has the meaning set forth in,508,,,,,,,,,,,,,
509,/html/body/document/type/sequence/filename/description/text/p[159]/u[2],Section 8.4(k),509,,,,,,,,,,,,,
510,/html/body/document/type/sequence/filename/description/text/p[159],.,510,,,,,,,,,,,,,
511,/html/body/document/type/sequence/filename/description/text/p[161]/u[1],“Confidentiality Agreement,511,,,,,,,,,,,,,
512,/html/body/document/type/sequence/filename/description/text/p[161],” has the meaning set forth in,512,,,,,,,,,,,,,
513,/html/body/document/type/sequence/filename/description/text/p[161]/u[2],Section,513,,,,,,,,,,,,,
514,/html/body/document/type/sequence/filename/description/text/p[161]/u[3],6.7(a),514,,,,,,,,,,,,,
515,/html/body/document/type/sequence/filename/description/text/p[161],.,515,,,,,,,,,,,,,
516,/html/body/document/type/sequence/filename/description/text/p[163]/u[1],“Consent,516,,,,,,,,,,,,,
517,/html/body/document/type/sequence/filename/description/text/p[163],” has the meaning set forth in,517,,,,,,,,,,,,,
518,/html/body/document/type/sequence/filename/description/text/p[163]/u[2],Section,518,,,,,,,,,,,,,
519,/html/body/document/type/sequence/filename/description/text/p[163]/u[3],4.5(b),519,,,,,,,,,,,,,
520,/html/body/document/type/sequence/filename/description/text/p[163],.,520,,,,,,,,,,,,,
521,/html/body/document/type/sequence/filename/description/text/p[165]/u[1],“Continuation Period,521,,,,,,,,,,,,,
522,/html/body/document/type/sequence/filename/description/text/p[165],” has the meaning set forth in,522,,,,,,,,,,,,,
523,/html/body/document/type/sequence/filename/description/text/p[165]/u[2],Section,523,,,,,,,,,,,,,
524,/html/body/document/type/sequence/filename/description/text/p[165]/u[3],6.13(a),524,,,,,,,,,,,,,
525,/html/body/document/type/sequence/filename/description/text/p[165],.,525,,,,,,,,,,,,,
526,/html/body/document/type/sequence/filename/description/text/p[167]/u[1],“Continuing Employee,526,,,,,,,,,,,,,
527,/html/body/document/type/sequence/filename/description/text/p[167],” has the meaning set forth in,527,,,,,,,,,,,,,
528,/html/body/document/type/sequence/filename/description/text/p[167]/u[2],Section,528,,,,,,,,,,,,,
529,/html/body/document/type/sequence/filename/description/text/p[167]/u[3],6.13(a),529,,,,,,,,,,,,,
530,/html/body/document/type/sequence/filename/description/text/p[167],.,530,,,,,,,,,,,,,
531,/html/body/document/type/sequence/filename/description/text/div[11]/div[1]/div/div,6,531,/html/body/document/type/sequence/filename/description/text/div[11]/div[1]/div/div,6,n,22,"[0.1424920963980306, 0.4976833333333333, 0.00463325, 0.00038870173620108835]",1.0,21.0,0.1424920963980306,0.4976833333333333,0.00463325,0.00038870173620108835,0.1424920963980306,1.0
532,/html/body/document/type/sequence/filename/description/text/p[170]/u,“Contract,532,,,,,,,,,,,,,
533,/html/body/document/type/sequence/filename/description/text/p[170],"” means any contract, lease, license, indenture, note, bond, agreement, concession, franchise or other binding instrument.",533,,,,,,,,,,,,,
534,/html/body/document/type/sequence/filename/description/text/p[172]/u,“Contribution Agreement,534,,,,,,,,,,,,,
535,/html/body/document/type/sequence/filename/description/text/p[172],” has the meaning set forth in the Recitals.,535,,,,,,,,,,,,,
536,/html/body/document/type/sequence/filename/description/text/p[174]/u,“COVID-19,536,,,,,,,,,,,,,
537,/html/body/document/type/sequence/filename/description/text/p[174],” means SARS-CoV-2 or COVID-19.,537,,,,,,,,,,,,,
538,/html/body/document/type/sequence/filename/description/text/p[176]/u,“COVID-19 Measures,538,,,,,,,,,,,,,
539,/html/body/document/type/sequence/filename/description/text/p[176],"” means any quarantine, “shelter in place,” “stay at home,” workforce reduction, social distancing, shut down, closure, sequester, safety or similar Law, directive, restrictions, guidelines, responses or recommendations of or promulgated by any Governmental Entity, including the Centers for Disease Control and Prevention and the World Health Organization, in each case, in connection with or in response to COVID-19 and any evolutions or mutations thereof or related or associated epidemic, plague, pandemic or outbreak of illness or public health event.",539,,,,,,,,,,,,,
540,/html/body/document/type/sequence/filename/description/text/p[178]/u,“COVID-19 Tax Measure,540,,,,,,,,,,,,,
541,/html/body/document/type/sequence/filename/description/text/p[178],"” means any Law enacted or issued by any Governmental Entity with respect to any Tax matter in response to COVID-19 (including the CARES Act, the Families First Coronavirus Response Act of 2020 (H.R. 6201), “Division N - Additional Coronavirus Response and Relief” of the Consolidated Appropriations Act, 2021 (H.R. 133), the American Rescue Plan Act of 2021 (Pub. L. 117-2), and the Memorandum for the Secretary of the Treasury signed by President Trump on August 8, 2020) and any regulations, order, or other administrative authority issued pursuant to any such Law or otherwise issued with respect to any Tax matter in response to the COVID-19 Pandemic (including IRS Notices 2020-18, 2020-20, and 2020-65).",541,,,,,,,,,,,,,
542,/html/body/document/type/sequence/filename/description/text/p[180]/u[1],“Delaware Secretary,542,,,,,,,,,,,,,
543,/html/body/document/type/sequence/filename/description/text/p[180],” has the meaning set forth in,543,,,,,,,,,,,,,
544,/html/body/document/type/sequence/filename/description/text/p[180]/u[2],Section 2.1(a),544,,,,,,,,,,,,,
545,/html/body/document/type/sequence/filename/description/text/p[180],.,545,,,,,,,,,,,,,
546,/html/body/document/type/sequence/filename/description/text/p[182]/u,“DGCL,546,,,,,,,,,,,,,
547,/html/body/document/type/sequence/filename/description/text/p[182],” means the Delaware General Corporation Law.,547,,,,,,,,,,,,,
548,/html/body/document/type/sequence/filename/description/text/p[184]/u[1],“Dissenting Shares,548,,,,,,,,,,,,,
549,/html/body/document/type/sequence/filename/description/text/p[184],” has the meaning set forth in,549,,,,,,,,,,,,,
550,/html/body/document/type/sequence/filename/description/text/p[184]/u[2],Section 3.4,550,,,,,,,,,,,,,
551,/html/body/document/type/sequence/filename/description/text/p[184],.,551,,,,,,,,,,,,,
552,/html/body/document/type/sequence/filename/description/text/p[186]/u,“Effect,552,,,,,,,,,,,,,
553,/html/body/document/type/sequence/filename/description/text/p[186],"” means any event, change, development, occurrence, result or effect.",553,,,,,,,,,,,,,
554,/html/body/document/type/sequence/filename/description/text/p[188]/u[1],“Effective Time,554,,,,,,,,,,,,,
555,/html/body/document/type/sequence/filename/description/text/p[188],” has the meaning set forth in,555,,,,,,,,,,,,,
556,/html/body/document/type/sequence/filename/description/text/p[188]/u[2],Section 2.1(b),556,,,,,,,,,,,,,
557,/html/body/document/type/sequence/filename/description/text/p[188],.,557,,,,,,,,,,,,,
558,/html/body/document/type/sequence/filename/description/text/p[190]/u,“Environmental Law,558,,,,,,,,,,,,,
559,/html/body/document/type/sequence/filename/description/text/p[190],"” means any Law that relates to human or worker health and safety as it relates to Hazardous Materials, pollution or protection of the environment or natural resources.",559,,,,,,,,,,,,,
560,/html/body/document/type/sequence/filename/description/text/p[192]/u,“Environmental Permit,560,,,,,,,,,,,,,
561,/html/body/document/type/sequence/filename/description/text/p[192],"” means any permit, license, consent, certification, variance, exemption, approval, registration, or other authorization required under any Environmental Law.",561,,,,,,,,,,,,,
562,/html/body/document/type/sequence/filename/description/text/p[194]/u[1],“Equity Commitment Letter,562,,,,,,,,,,,,,
563,/html/body/document/type/sequence/filename/description/text/p[194],” has the meaning set forth in,563,,,,,,,,,,,,,
564,/html/body/document/type/sequence/filename/description/text/p[194]/u[2],Section,564,,,,,,,,,,,,,
565,/html/body/document/type/sequence/filename/description/text/p[194]/u[3],5.5(a),565,,,,,,,,,,,,,
566,/html/body/document/type/sequence/filename/description/text/p[194],.,566,,,,,,,,,,,,,
567,/html/body/document/type/sequence/filename/description/text/p[196]/u,“Equity Financing Source,567,,,,,,,,,,,,,
568,/html/body/document/type/sequence/filename/description/text/p[196],” means the entities set forth on the signature pages to the Equity Commitment Letter.,568,,,,,,,,,,,,,
569,/html/body/document/type/sequence/filename/description/text/p[198]/u,“ERISA,569,,,,,,,,,,,,,
570,/html/body/document/type/sequence/filename/description/text/p[198],"” means the Employee Retirement Income Security Act of 1974, 29 U.S.C. § 1001 et seq.",570,,,,,,,,,,,,,
571,/html/body/document/type/sequence/filename/description/text/p[200]/u,“ERISA Affiliate,571,,,,,,,,,,,,,
572,/html/body/document/type/sequence/filename/description/text/p[200],” means all Persons (whether or not incorporated) that are or would be treated together with the Company or any of the Company Subsidiaries as a “single employer” within the meaning of Section 414 of the Code or Section 4001 of ERISA.,572,,,,,,,,,,,,,
573,/html/body/document/type/sequence/filename/description/text/div[12]/div[1]/div/div,7,573,/html/body/document/type/sequence/filename/description/text/div[12]/div[1]/div/div,7,n,23,"[0.15895542886758227, 0.4976833333333333, 0.00463325, 0.00038870173620108835]",1.0,22.0,0.15895542886758227,0.4976833333333333,0.00463325,0.00038870173620108835,0.15895542886758227,1.0
574,/html/body/document/type/sequence/filename/description/text/p[203],"""",574,,,,,,,,,,,,,
575,/html/body/document/type/sequence/filename/description/text/p[203]/u,Ex-Im Laws,575,,,,,,,,,,,,,
576,/html/body/document/type/sequence/filename/description/text/p[203],""" means all U.S. and applicable non-U.S. Laws relating to export, reexport, transfer, and import controls, including the Export Administration Regulations, the customs and import Laws administered by U.S. Customs and Border Protection, and the EU Dual Use Regulation.",576,,,,,,,,,,,,,
577,/html/body/document/type/sequence/filename/description/text/p[205]/u,“Exchange Act,577,,,,,,,,,,,,,
578,/html/body/document/type/sequence/filename/description/text/p[205],"” means the Securities Exchange Act of 1934, 15 U.S.C. § 78a et seq., and the rules and regulations promulgated thereunder.",578,,,,,,,,,,,,,
579,/html/body/document/type/sequence/filename/description/text/p[207]/u[1],“Exchange Fund,579,,,,,,,,,,,,,
580,/html/body/document/type/sequence/filename/description/text/p[207],” shall have the meaning set forth in,580,,,,,,,,,,,,,
581,/html/body/document/type/sequence/filename/description/text/p[207]/u[2],Section,581,,,,,,,,,,,,,
582,/html/body/document/type/sequence/filename/description/text/p[207]/u[3],3.3(a),582,,,,,,,,,,,,,
583,/html/body/document/type/sequence/filename/description/text/p[207],.,583,,,,,,,,,,,,,
584,/html/body/document/type/sequence/filename/description/text/p[209]/u[1],“Filed Company SEC Documents,584,,,,,,,,,,,,,
585,/html/body/document/type/sequence/filename/description/text/p[209],” has the meaning set forth in,585,,,,,,,,,,,,,
586,/html/body/document/type/sequence/filename/description/text/p[209]/u[2],Article,586,,,,,,,,,,,,,
587,/html/body/document/type/sequence/filename/description/text/p[209]/u[3],IV,587,,,,,,,,,,,,,
588,/html/body/document/type/sequence/filename/description/text/p[209],.,588,,,,,,,,,,,,,
589,/html/body/document/type/sequence/filename/description/text/p[211]/u[1],“Financing,589,,,,,,,,,,,,,
590,/html/body/document/type/sequence/filename/description/text/p[211],” has the meaning set forth in,590,,,,,,,,,,,,,
591,/html/body/document/type/sequence/filename/description/text/p[211]/u[2],Section,591,,,,,,,,,,,,,
592,/html/body/document/type/sequence/filename/description/text/p[211]/u[3],5.5(a),592,,,,,,,,,,,,,
593,/html/body/document/type/sequence/filename/description/text/p[211],.,593,,,,,,,,,,,,,
594,/html/body/document/type/sequence/filename/description/text/p[213]/u,“GAAP,594,,,,,,,,,,,,,
595,/html/body/document/type/sequence/filename/description/text/p[213],” means U.S. generally accepted accounting principles.,595,,,,,,,,,,,,,
596,/html/body/document/type/sequence/filename/description/text/p[215]/u[1],“Governmental Entity,596,,,,,,,,,,,,,
597,/html/body/document/type/sequence/filename/description/text/p[215],” has the meaning set forth in,597,,,,,,,,,,,,,
598,/html/body/document/type/sequence/filename/description/text/p[215]/u[2],Section,598,,,,,,,,,,,,,
599,/html/body/document/type/sequence/filename/description/text/p[215]/u[3],4.5(b),599,,,,,,,,,,,,,
600,/html/body/document/type/sequence/filename/description/text/p[215],.,600,,,,,,,,,,,,,
601,/html/body/document/type/sequence/filename/description/text/p[217]/u[1],“Guarantee,601,,,,,,,,,,,,,
602,/html/body/document/type/sequence/filename/description/text/p[217],” has the meaning set forth in,602,,,,,,,,,,,,,
603,/html/body/document/type/sequence/filename/description/text/p[217]/u[2],Section,603,,,,,,,,,,,,,
604,/html/body/document/type/sequence/filename/description/text/p[217]/u[3],5.11,604,,,,,,,,,,,,,
605,/html/body/document/type/sequence/filename/description/text/p[217],.,605,,,,,,,,,,,,,
606,/html/body/document/type/sequence/filename/description/text/p[219]/u,“Guarantor,606,,,,,,,,,,,,,
607,/html/body/document/type/sequence/filename/description/text/p[219],” has the meaning set forth in the Recitals.,607,,,,,,,,,,,,,
608,/html/body/document/type/sequence/filename/description/text/p[221]/u,“Hazardous Material,608,,,,,,,,,,,,,
609,/html/body/document/type/sequence/filename/description/text/p[221],"” means any substance, material or waste that is listed, defined, designated, classified or otherwise regulated as “hazardous”, “toxic”, a “pollutant” or “contaminant” or words of similar meaning or regulatory effect pursuant to, or for which liability or standards of conduct may be imposed under, any Environmental Laws due to their hazardous or deleterious properties or characteristics, including petroleum and petroleum byproducts, asbestos, lead, radiation, toxic mold, polychlorinated biphenyls, and per- and polyfluoroalkyl substances.",609,,,,,,,,,,,,,
610,/html/body/document/type/sequence/filename/description/text/p[223]/u,“HSR Act,610,,,,,,,,,,,,,
611,/html/body/document/type/sequence/filename/description/text/p[223],"” means the Hart-Scott-Rodino Antitrust Improvements Act of 1976, 15 U.S.C. § 18a et seq., and the rules and regulations promulgated thereunder.",611,,,,,,,,,,,,,
612,/html/body/document/type/sequence/filename/description/text/p[225]/u[1],“Indebtedness,612,,,,,,,,,,,,,
613,/html/body/document/type/sequence/filename/description/text/p[225],"” of any Person means, without duplication: (a) indebtedness of such Person for borrowed money; (b) obligations of such Person to pay the deferred purchase or acquisition price for any property of such Person, including any earn-out obligations; (c) reimbursement obligations of such Person in respect of drawn letters of credit or similar instruments issued or accepted by banks and other financial institutions for the account of such Person; (d) obligations of such Person under a lease to the extent such obligations are required to be classified and accounted for as a capital lease on a balance sheet of such Person under GAAP; (e) indebtedness evidenced by bonds, debentures, notes or other similar instruments or debt securities; (f) liabilities arising out of interest rate and currency swap arrangements and any other arrangements designed to provide protection against fluctuations in interest or currency rates; and (g) indebtedness of others as described in",613,,,,,,,,,,,,,
614,/html/body/document/type/sequence/filename/description/text/p[225]/u[2],clauses (a),614,,,,,,,,,,,,,
615,/html/body/document/type/sequence/filename/description/text/p[225],through,615,,,,,,,,,,,,,
616,/html/body/document/type/sequence/filename/description/text/p[225]/u[3],(f),616,,,,,,,,,,,,,
617,/html/body/document/type/sequence/filename/description/text/p[225],"above guaranteed by such Person; but Indebtedness does not include accounts payable to trade creditors, or accrued expenses arising in the ordinary course of business consistent with past practice, in each case, that are not yet due and payable, or are being disputed in good faith, and the endorsement of negotiable instruments for collection in the ordinary course of business consistent with past practice.",617,,,,,,,,,,,,,
618,/html/body/document/type/sequence/filename/description/text/p[227]/u[1],“Indemnification Expenses,618,,,,,,,,,,,,,
619,/html/body/document/type/sequence/filename/description/text/p[227],” has the meaning set forth in,619,,,,,,,,,,,,,
620,/html/body/document/type/sequence/filename/description/text/p[227]/u[2],Section,620,,,,,,,,,,,,,
621,/html/body/document/type/sequence/filename/description/text/p[227]/u[3],6.11(a),621,,,,,,,,,,,,,
622,/html/body/document/type/sequence/filename/description/text/p[227],.,622,,,,,,,,,,,,,
623,/html/body/document/type/sequence/filename/description/text/p[229]/u[1],“Indemnified Parties,623,,,,,,,,,,,,,
624,/html/body/document/type/sequence/filename/description/text/p[229],” has the meaning set forth in,624,,,,,,,,,,,,,
625,/html/body/document/type/sequence/filename/description/text/p[229]/u[2],Section,625,,,,,,,,,,,,,
626,/html/body/document/type/sequence/filename/description/text/p[229]/u[3],6.11(a),626,,,,,,,,,,,,,
627,/html/body/document/type/sequence/filename/description/text/p[229],.,627,,,,,,,,,,,,,
628,/html/body/document/type/sequence/filename/description/text/div[13]/div[1]/div/div,8,628,/html/body/document/type/sequence/filename/description/text/div[13]/div[1]/div/div,8,n,24,"[0.17501736201088364, 0.4976833333333333, 0.00463325, 0.00038870173620108835]",1.0,23.0,0.17501736201088364,0.4976833333333333,0.00463325,0.00038870173620108835,0.17501736201088364,1.0
629,/html/body/document/type/sequence/filename/description/text/p[232]/u,“Intellectual Property,629,,,,,,,,,,,,,
630,/html/body/document/type/sequence/filename/description/text/p[232],"” means all intellectual property and similar proprietary rights, in any jurisdiction, including the following: (a) trademarks, service marks, trade dress, logos, slogans, trade names and business names, together with all goodwill related thereto, and all applications and registrations for the foregoing, including all renewals of the same, (b) inventions (whether patentable or not), utility models, supplementary protection certifications, patents and patent applications, including divisions, continuations, continuations-in-part and renewal applications, and including renewals, extensions, reexaminations and reissues, (c) confidential information, trade secrets and know-how, (d) copyrightable works of authorship (including databases and other compilations of information), copyrights, industrial designs and other design rights, and registrations and applications therefor, and all renewals, extensions, restorations and reversions thereof, (d) all rights in computer software, including all object code, source code, specifications, algorithms, architectures, structures, displays, screens, layouts and development tools, and all documentation and media related thereto and (e) domain names, Internet addresses, other computer identifiers and social media identifiers and related accounts.",630,,,,,,,,,,,,,
631,/html/body/document/type/sequence/filename/description/text/p[234]/u,“Judgment,631,,,,,,,,,,,,,
632,/html/body/document/type/sequence/filename/description/text/p[234],"” means any judgment, settlement, order, decision, direction, writ, injunction, decree, stipulation or legal or arbitration award of, or promulgated or issued by, a Governmental Entity.",632,,,,,,,,,,,,,
633,/html/body/document/type/sequence/filename/description/text/p[236]/u[1],“Knowledge,633,,,,,,,,,,,,,
634,/html/body/document/type/sequence/filename/description/text/p[236],"” means the actual knowledge of, in the case of the Company and the Company Subsidiaries, the individuals listed in",634,,,,,,,,,,,,,
635,/html/body/document/type/sequence/filename/description/text/p[236]/u[2],Section,635,,,,,,,,,,,,,
636,/html/body/document/type/sequence/filename/description/text/p[236]/u[3],1.1,636,,,,,,,,,,,,,
637,/html/body/document/type/sequence/filename/description/text/p[236],"of the Company Disclosure Letter and in the case of Parent and Merger Sub, the individuals listed in",637,,,,,,,,,,,,,
638,/html/body/document/type/sequence/filename/description/text/p[236]/u[4],Section,638,,,,,,,,,,,,,
639,/html/body/document/type/sequence/filename/description/text/p[236]/u[5],1.1,639,,,,,,,,,,,,,
640,/html/body/document/type/sequence/filename/description/text/p[236],of the Parent Disclosure Letter.,640,,,,,,,,,,,,,
641,/html/body/document/type/sequence/filename/description/text/p[238]/u,“Law,641,,,,,,,,,,,,,
642,/html/body/document/type/sequence/filename/description/text/p[238],"” means any law, rule, regulation, ordinance, code, statute, Judgment, order, decree, ruling, treaty, convention, governmental directive, injunction or other binding directive, U.S. or non-U.S., of any Governmental Entity, including common law.",642,,,,,,,,,,,,,
643,/html/body/document/type/sequence/filename/description/text/p[240]/u,“Lien,643,,,,,,,,,,,,,
644,/html/body/document/type/sequence/filename/description/text/p[240],"” means any mortgage, lien, license, charge, restriction (including restrictions on transfer), pledge, security interest, option, right of first offer or refusal, preemptive right, lease or sublease, claim, right of any third party, covenant, right of way, easement, encroachment or encumbrance.",644,,,,,,,,,,,,,
645,/html/body/document/type/sequence/filename/description/text/p[242]/u[1],“Measurement Date,645,,,,,,,,,,,,,
646,/html/body/document/type/sequence/filename/description/text/p[242],” has the meaning set forth in,646,,,,,,,,,,,,,
647,/html/body/document/type/sequence/filename/description/text/p[242]/u[2],Section,647,,,,,,,,,,,,,
648,/html/body/document/type/sequence/filename/description/text/p[242]/u[3],4.2(a),648,,,,,,,,,,,,,
649,/html/body/document/type/sequence/filename/description/text/p[242],.,649,,,,,,,,,,,,,
650,/html/body/document/type/sequence/filename/description/text/p[244]/u,“Merger,650,,,,,,,,,,,,,
651,/html/body/document/type/sequence/filename/description/text/p[244],” has the meaning set forth in the Recitals.,651,,,,,,,,,,,,,
652,/html/body/document/type/sequence/filename/description/text/p[246]/u[1],“Merger Consideration,652,,,,,,,,,,,,,
653,/html/body/document/type/sequence/filename/description/text/p[246],” has the meaning set forth in,653,,,,,,,,,,,,,
654,/html/body/document/type/sequence/filename/description/text/p[246]/u[2],Section,654,,,,,,,,,,,,,
655,/html/body/document/type/sequence/filename/description/text/p[246]/u[3],3.1(a)(ii),655,,,,,,,,,,,,,
656,/html/body/document/type/sequence/filename/description/text/p[246],.,656,,,,,,,,,,,,,
657,/html/body/document/type/sequence/filename/description/text/p[248]/u,“Merger Sub,657,,,,,,,,,,,,,
658,/html/body/document/type/sequence/filename/description/text/p[248],” has the meaning set forth in the Preamble.,658,,,,,,,,,,,,,
